name, addr, lon, lat
오하브 글램핑,북면 꽃넘이길 43, 127.527012, 37.896166
힐포인트,수지구 동천로 541, 127.0527565, 37.3513547
가평 2PM애견펜션,상면 청군로 690-13, 127.3521492, 37.7958862
가평 퍼피밸리 애견 펜션,북면 백둔로133번길 8, 127.4890274, 37.8978139
개댁 애견 펜션,상면 축령로 276-16, 127.3443695, 37.774225
까망베르애견풀빌라,북면 백둔로133번길 68-26, 127.4849106, 37.8964418
댕댕이계곡펜션,북면 가화로 1450, 127.5100426, 37.8974059
더리조트멍,조종면 현등사길 55-279, 127.3452116, 37.8602639
도그더왈츠,북면 가화로 1462-39, 127.5076875, 37.89756250000001
바비네하우스 애견펜션,가평읍 상지로 1040, 127.4976335, 37.7382739
스위트몽,상면 축령로 102, 127.3609742, 37.7745951
우다다 애견 펜션,가평읍 태봉두밀로 522-101, 127.4415745, 37.81596439999999
플레이독 애견펜션,상면 수목원로 391-25, 127.3539177, 37.7465246
피크닉댕댕,천보산로 344, 127.1081858, 37.8669849
멍라밸 독체,단원구 대부남동 1072-71, 126.5789654, 37.2287731
도그베이 송추점,장흥면 호국로 542-20, 126.9745781, 37.7179915
몽이네 애견펜션,서종면 도장계곡길 54, 127.397516, 37.602795
밸런스독펜션,지평면 바깥섬부리1길 3-29, 127.6555942, 37.464216
편안하개 애견펜션,양동면 양서북로 593-20, 127.7696475, 37.4627804
퐁당 애견펜션,용문면 망능길 4, 127.6247684, 37.5324077
더블스테이 애견펜션 또또멍 연천1호점,미산면 노아로 670-16, 126.9631635, 38.0190656
위드독펜션,미산면 노아로 670-102, 126.9630281, 38.0194929
아임버디 애견펜션,탄현면 필승로 487-32, 126.6872542, 37.784995
플레이라움,적성면 장뜰길 335, 126.9761905, 37.973548
더히로 플레이그라운드,화현면 봉화로 201-65, 127.2762541, 37.8657167
부엉이애견펜션,일동면 윗갈기길 23-12, 127.3238262, 37.9676759
쓰담쓰담애견펜션,일동면 사기막길 67-4, 127.3360407, 37.97214
콩알팬션,소흘읍 죽엽산로 391-3, 127.1676959, 37.79879409999999
로만티카 애견리조트,화도면 해안남로 1986, 126.4125607, 37.60460339999999
리니스하우스,양도면 강화남로 1077-23, 126.418167, 37.69009039999999
멍숲,불은면 중앙로 576-2, 126.4492394, 37.7122828
뷰나인 애견펜션,화도면 해안남로 2709-8, 126.3782988, 37.6363247
러블리펫108,영흥면 선재로 76-27, 126.5313198, 37.2358279
링크독애견테마파크 글램핑 & 오토캠핑장,설악면 신천중앙로28번길 101-60, 127.4899281, 37.6605421
새와참새 캠핑장,설악면 엄소리 47, 127.5084187, 37.64384839999999
숲속의정원,북면 가화로 988-50, 127.5507032, 37.8818607
아워포레스트,가평읍 가화로 440-113, 127.5090623, 37.8551243
애견동반 올덴 카라반&펜션,청평면 고성리 22, 127.5167133, 37.7021377
캠플레이 캠핑장,상면 비룡로 1610-15, 127.2884438, 37.7801487
더 드림핑 글램핑,화도읍 북한강로 1630-22, 127.3701474, 37.6529829
물동네힐링캠프,수동면 비룡로 945, 127.3155777, 37.7174654
사나래글램핑,용문면 중원산로 525, 127.6199337, 37.546956
산음자연휴양림,단월면 고북길 347, 127.6036758, 37.5892267
여가,지평면 망미리 150, 127.6569998, 37.4388753
금은모래캠핑장,강변유원지길 105, 127.6662438, 37.2932473
골드펫리조트,기흥구 기흥단지로 406, 127.1369132, 37.2188123
위드독스in포천,관인면 뗏마루길 128-26, 127.2516772, 38.1204586
바다다 캠핑장,화도면 내리 2146-2, 126.3799855, 37.63701280000001
가평 구름위산책펜션&글램핑,조종면 운악청계로 238-38, 127.3556119, 37.8345064
개가사는그집,가평읍 복장포길 85, 127.5040605, 37.73920399999999
까망봉다리,조종면 명지산로 184-45, 127.3693734, 37.8894202
더스테이힐링파크,설악면 한서로268번길 157, 127.5223905, 37.6608446
도그버디,북면 화악산로356번길 44-145, 127.565951, 37.9072302
동반 풀빌라펜션,가평읍 태봉두밀로596번길 84, 127.4296086, 37.8111506
마을 펜션,청평면 대성리 572-7, 127.369095, 37.6873494
멍밸리,상면 수목원로164번길 16, 127.3620765, 37.7627843
모나코펜션,상면 임초밤안골로 252, 127.3640582, 37.7505642
반디빌리지펜션,설악면 묵안로 287, 127.5075981, 37.6454218
보니하니,상면 임초리 160, 127.3721885, 37.75503459999999
빌라퍼즈,설악면 유명로 2150-20, 127.4610628, 37.70247630000001
스테이엘 펜션,상면 수목원로386번길 14-19, 127.3509977, 37.7492262
아다마스펜션,상면 안말길 55-91, 127.2844608, 37.78410259999999
애프터눈 가든,상면 둔덕말길 13-120, 127.3169697, 37.7927363
어부바 펜션,설악면 유명로 625-52, 127.4921618, 37.603132
오블리펜션,상면 임초밤안골로 251, 127.3641509, 37.7500691
위드멍 애견동반펜션,상면 수목원로 417-17, 127.3539554, 37.7445523
자니펜션,북면 백둔로133번길 12-12, 127.48809 3,7.8975585
포시즌밸리,북면 백둔로 389, 127.4657733, 37.9015304
델라고펜션,용문면 금곡리 366-3, 127.6139999, 37.5082873
메리도그하우스,청운면 가현길 440, 127.7300292, 37.5204146
슬로우인 풀빌라,단월면 섬이길 329-11, 127.5793832, 37.627681
오늘하루고마웠다펜션,옥천면 옥천돌고갯길 8-50, 127.4686751, 37.5151451
주주송 독채펜션,옥천면 중미산로 1231, 127.4601556, 37.5851851
팔레 드 차밍,양동면 아래배내1길 36-28, 127.7818686, 37.3900808
바크라우더,탄현면 법흥로 82-47, 126.7067342, 37.7767569
오블라디 풀빌라,문산읍 문현말길 113-14, 126.7710152, 37.8465564
더케이즈펜션,일동면 운악청계로1480번길 49, 127.3408355, 37.94009569999999
포포펜션,화현면 봉화로 315-69, 127.275625, 37.874766
하늘ZIP펜션,일동면 화동로857번길 5-40, 127.3069266, 37.9406061
참쉼터,남양읍 장덕북길 20번길 8-15, 126.8043309, 37.1599694
무무펜션,화도면 사기리 98-2, 126.4599632, 37.6198247
섬섬한옥,강화읍 궁골길5번길 8-3, 126.4809468, 37.7521454
어나더153,화도면 해안남로 1669-12, 126.4375262, 37.5944541
올라펜션,영흥면 선재로 76-10, 126.5314026, 37.23529959999999
라까사 호텔 서울,도산대로1길 83, 127.0194807, 37.52210590000001
호텔 카푸치노,봉은사로 155, 127.0315248, 37.5067961
비스타 워커힐 서울,워커힐로 177, 127.1112096, 37.5543699
라이즈  오토그래프 컬렉션,양화로 130, 126.9213026, 37.5543688
그랜드 머큐어 앰배서더 호텔 앤 레지던스 서울 용산,청파로20길 95, 126.9611002, 37.5322959
레스케이프 호텔,퇴계로 67, 126.979724, 37.5601147
밀레니엄 힐튼 서울,소월로 50, 126.9757787, 37.5552286
프레이저플레이스 센트럴,통일로 78, 126.9697425, 37.56255489999999
오크우드 프리미어 인천,컨벤시아대로 165, 126.644207, 37.389264
더 위크앤 리조트,용유서로 379, 126.3709376, 37.45036959999999
갓잇 일산점,일산동구 일산로394번길 19-3 1층, 126.7819668, 37.6704474
캘리인더볼,연희로 32-1 1층, 126.9272861, 37.56160309999999
라마네의식주,분당구 산운로160번길 20-9 1층 101호, 127.0785698, 37.3928074
반치앙마이 위례,수정구 위례광장로 70 1층 131호, 127.1410592, 37.4644951
꾸안,팔달구 화서문로 60 1층, 127.0146984, 37.2854987
포이남,용민로 477 103호, 127.1008546, 37.74825999999999
까폼,선릉로153길 18 지하1층, 127.0380967, 37.52485540000001
쏭타이 역삼점,테헤란로39길 51 옥산빌딩 1층 102호, 127.0403591, 37.50564070000001
리틀방콕 고덕점,동남로79길 26 고덕아이파크 상가 1층, 127.1551361, 37.5598125
반둥식당,아차산로 200 커먼그라운드 3층, 127.0655 37,.54143750000001
라오삐악,희우정로10길 5, 126.9044503, 37.5527037
The Andaman,남부순환로 2636 성문빌딩 1층 101-2호, 127.0388942, 37.4847134
냐항,연무장길 9-6 1층, 127.0510203, 37.5439077
레몬그라스,연무장길 41-26 1층, 127.0542589, 37.54337880000001
리틀방콕 왕십리뉴타운점,왕십리로 410, 127.0259971, 37.566583
봉쥬르,상원2길 7, 127.049629, 37.54586700000001
동방,보문로30라길 20 1층, 127.0186549, 37.5898189
골든타이,위례성대로 66 1층, 127.119429, 37.514683
촙촙 롯데월드몰점,올림픽로 300 롯데월드타워앤롯데월드몰 지하1층 3355, 127.1049811, 37.5143802
효뜨,한강대로40가길 6 1층 2층, 126.9712949, 37.5303121
알로이 짱,용마산로115길 71 2층, 127.0964187, 37.5981518
샤카보울 일산비치점,일산동구 대산로11번길 32-13 1층 102호, 126.7730199, 37.66852900000001
선셋스위밍 샌드위치,언주로170길 23 1층, 127.0355756, 37.5268125
위트앤미트 강남점,강남대로110길 32 1층, 127.0274771, 37.5036414
파지티브호텔 플래그십,압구정로46길 77, 127.119102, 37.50400500000001
슬로우캘리 신도림점,경인로59길 7 상가동 1층 101호, 126.8828721, 37.5055421
케슬리,상계로1길 74 113호, 127.061516, 37.6594037
반미프엉,"성미산로29길 20 1, 2, 3층", 126.9224369, 37.5649537
소스포소스,독막로 147-7, 126.9297462, 37.5482267
브럭시 롯데월드몰점,올림픽로 300, 127.1043177, 37.5136408
썬더롤스,국제금융로 10 IFC몰 L1층 144호, 126.9255491, 37.5251644
샐러드셀러,대사관로5길 28, 127.0003693, 37.5353922
카사블랑카 샌드위치,신흥로 35, 126.9870995, 37.5416063
실리그린,계동길 59, 126.9866541, 37.5798977
카프샌드,남동대로733번길 56-7 1층, 126.7039899, 37.4484783
멜로우터틀,일산동구 강촌로26번길 73-22 1층, 126.7831274, 37.6447892
삼식당,덕양구 삼원안길 44 1층, 126.8735431, 37.6359284
에그앤피넛,일산동구 일산로380번길 63-32 1층, 126.780518, 37.6752325
파스타힐,일산동구 일산로463번길 15-4 1층, 126.7754095, 37.6733771
힐하우스,덕양구 동헌로 385-18, 126.768499, 37.6837881
오로르,해평로 125-36 1층, 126.6603732, 37.6521278
피렌체 테이블,별내중앙로 84, 127.1227414, 37.6486472
립플레이,부일로 718 2층, 126.8096991, 37.48506949999999
여월가든,원미로281번길 123 동불사, 126.7925637, 37.5115905
라스토리아1001,분당구 판교공원로3길 24, 127.0889006, 37.3910302
로우테라스,수정구 청계산로5길 8 1층, 127.0999537, 37.4247524
루트스테이,분당구 정자일로 140, 127.1066793, 37.3625722
월페이퍼,분당구 새마을로 101, 127.1415699, 37.38358789999999
149플라밍고,영통구 법조로149번길 47 1층, 127.0711728, 37.2939348
더테라스,영통구 삼성로 194 4층, 127.0586898, 37.2600731
봉주르하와이,영통구 광교호수공원로 80 앨리웨이상가 앨리키즈동1층101~103, 127.0625326, 37.2744614
비원,팔달구 신풍로63번길 3-1, 127.013588, 37.286587
뽁식당 호매실점,권선구 금곡로196번길 62 SJ타워 1층 109호~111호, 126.9408213, 37.27104190000001
커들,권선구 칠보로88번길 155-11 1층, 126.9418899, 37.2623938
투섹션,영통구 법조로 25 SK레이크타워 1층 121~123호, 127.0604376, 37.2869757
팻보이그라운드,팔달구 화서문로72번길 27-8 1층, 127.0171277, 37.28478199999999
PPK 키친,팔달구 인계로124번길 27-18 신일빌딩 1층, 127.0315638, 37.2656864
베러스퀘어,달월길 87, 126.7536026, 37.3781891
뽁식당 배곧점,서울대학로264번길 25 블루동 2층, 126.7841031, 37.4389636
그릴 휘바,장흥면 호국로550번길 107, 126.980305, 37.7161988
로그하우스,어하고개로 127, 127.1085618, 37.8140412
알로하오에,양서면 양수로138번길 51, 127.3222896, 37.5480341
루트889,처인구 포곡읍 성산로 435, 127.204986, 37.280739
문스,기흥구 죽전로15번길 15-3 1층, 127.1099746, 37.3218174
포멜로,기흥구 죽전로15번길 12-8 1층, 127.1105056, 37.3214655
파르팔레,시민로121번길 87 2층, 127.0507748, 37.7419531
고기공,파평면 율곡로 881, 126.8268084, 37.9099915
마마경양식,가람로21번길 26-27, 126.7527648, 37.7355214
뮌스터담,운정로 113-175, 126.7841899, 37.7266367
잇탈리 헤이리점,탄현면 헤이리마을길 48-9, 126.6987642, 37.78790980000001
테이블드파스타,미사강변한강로354번길 10 1층, 127.19263 3,7.56337300000001
까사밀,도산대로1길 83 라까사호텔 1층, 127.0195533, 37.5221501
달마시안,압구정로42길 42, 127.0345172, 37.5262389
립합 라운지,압구정로4길 14-14, 127.0197442, 37.5210425
바 밀라,삼성로149길 13, 127.0465332, 37.523136
비스트로상수,논현로 54 1층, 127.0474411, 37.4752804
사루비아,논현로153길 57 1층, 126.98237 3,7.5793552
세바,언주로151길 21 1층, 127.0316974, 37.521643
스케줄청담,선릉로152길 37 1층, 127.0426668, 37.5246112
스페인클럽 가로수본점,압구정로10길 26, 127.0219275, 37.5219051
신사890,강남대로152길 26 2층, 127.0215497, 37.5175361
어썸로즈,압구정로10길 40 지하1층, 127.0220009, 37.5208907
에이치피 서울,봉은사로6길 34 지상 2층, 127.1246453, 37.4871922
윌로뜨,선릉로148길 48 미준빌딩 3층, 127.0434301, 37.5228153
자매의 부엌,압구정로10길 40, 127.0220195, 37.5208983
조인바이트,선릉로112길 13, 127.0445989, 37.5114941
청담오후,선릉로 708 2층, 127.0411314, 37.5181689
틴틴 강남점,봉은사로2길 19, 127.0261472, 37.50354220000001
호쿠모쿠,압구정로46길 5-12 1층, 127.0377047, 37.52788049999999
UPPERWEST,도산대로15길 25, 127.023592, 37.5197985
33acre,아리수로61길 33, 127.1498221, 37.563133
닐리 고덕점,동남로73길 31 2층, 127.1544004, 37.5527665
담금 올림픽점,성내로18길 37, 127.1284273, 37.52530970000001
심플잇,천면로100길 11 1층 101호, 127.1717121, 37.5503648
라포레스타,월계로 173, 127.0406246, 37.6214312
공간녹음,공항대로 227 403호 마곡센트럴타워 1차, 126.832897, 37.5591136
애견동반식당 사랑봄,신원로3가길 6, 126.9276702, 37.4813305
해밀,서해안로18길 24, 126.8375515, 37.4882942
비단콤마,상도로30길 40 상가 A동 107호, 126.9429325, 37.5039763
23플래터,잔다리로3안길 36 1층, 126.9193423, 37.55042419999999
38도씨식당,와우산로17길 19-17 2층, 126.921578, 37.5493886
르팔러,양화로 45 103동 1층 175호 (서교동 메세나폴리스, 126.9134767, 37.5489656
마레스타,월드컵북로4길 15, 126.9206122, 37.5571908
아로,동교로8길 39 1층, 126.9056101, 37.5503067
얼띵앤키친,토정로5길 22, 126.9185635, 37.54639879999999
이응이응이응이응,독막로 63-1 1층 2층 정원 및 루프탑, 126.9206978, 37.5480344
장화신은고양이,월드컵로19길 16 지하, 126.9081978, 37.5567076
카페 뚜또 페르 뚜띠,동교로 149-16, 126.9181098, 37.55562
풀스트릿,동교로51안길 16 풀스트릿, 126.9246108, 37.5652285
훌라훌라,희우정로10길 4, 126.9046156, 37.5526068
July 16th,와우산로23길 35-6 3층, 126.923292, 37.55453649999999
로라,증가로32길 23-8 1층, 126.9120482, 37.5848694
마우디,연희로11길 18, 126.9301042, 37.5674559
희게,증가로 1 2층, 126.9319079, 37.5686237
다 피타 시그니처,서초대로 3-4 1층 106호, 126.9830638, 37.4860394
모나크비스트로,잠원로 145-57 메리모나크 3층, 127.0078431, 37.51923049999999
문쥬스,서초대로25길 33 1층, 126.9934482, 37.48917749999999
미스터처비,방배로26길 19 2층, 126.9938955, 37.4893876
미스터처비 반포점,사평대로45길 10-25, 127.0139319, 37.5065936
파스타 트리오,강남대로 545-15 미주빌딩 102호, 127.0204248, 37.51015719999999
푸드더즈매터,서래로1길 10 1층, 126.9970973, 37.49620120000001
HIDE 방배,방배중앙로 164, 126.9865405, 37.4936595
누메로도스,상원1길 35-9, 127.0473209, 37.54632350000001
누메로뜨레스,성수일로 21 1층, 127.0485921, 37.5425602
아치,서울숲2길 20-12, 127.0407314, 37.5467585
코시나,성수일로11길 8 선일빌딩1층, 127.0507211, 37.5491207
포피나,서울숲2길 13 1층, 127.0401893, 37.5472921
dooop,서울숲2길 16-8 1층, 127.0402181, 37.5469895
도이칠란드 박,솔샘로6길 30-15 1층, 127.0069599, 37.6087743
빌라드코스테스,화랑로5길 4, 127.0390983, 37.60270879999999
이태리맨션,동소문로26마길 2-4 1층, 127.0212281, 37.5937778
쵸이양식,동소문로20나길 26-1 2층, 127.0180602, 37.592253
테레,"정릉로27길 40 지하1층, 1~2층", 127.0136753, 37.6055013
wnch,고려대로7길 48 1층, 127.020147, 37.58802920000001
라코즈,백제고분로45길 40 a동 2층 201호, 127.1074854, 37.5109904
로얄테라스가든,올림픽로 300, 127.103495, 37.5130605
빈티지 1981,석촌호수로 194 태호빌딩 2층, 127.0985653, 37.50620200000001
옐로우팟,송파대로 167 문정역테라타워 1차 A동 120호, 127.1258648, 37.48452320000001
쿠치나 디 까사,"송파대로 201 송파테라타워2 A동 1층 A-110, 111호", 127.1195202, 37.487033
포지타노,"오금로15길 12 1,2층", 127.1096469, 37.512616
하이윤,송파대로40길 1-26, 127.1088066, 37.5041433
가정경양,목동동로 437 향도 드림네스트 1층 101호, 126.8309393, 37.5305468
미노파스타,목동중앙본로 36 102호, 126.8692991, 37.5395468
부부부엌,목동중앙본로 117 1층, 126.8712096, 37.5459742
비스트로406,목동동로 226, 126.8719545, 37.5256756
웨이브스,도림로 434-11, 126.8950318, 37.5148173
1989 비스트로,회나무로13가길 37 1층, 126.9916238, 37.5410035
라샌독 오스테리아,이태원로54길 62-9 1층, 127.0006764, 37.5353401
리틀넥한남,한남대로27길 66 1층, 127.0029806, 37.5396132
몽크스부처,이태원로 228-1 대로변 3층 4층, 126.9991935, 37.5354302
살팀보카,한강대로76길 11-36 1층, 126.9737383, 37.5423332
쇼니노,한강대로21길 17-18 1층, 126.9633671, 37.5263125
시우어게인,녹사평대로 210-6 5층, 126.987420, 37.536385
쌤쌤쌤,한강대로50길 25 1층, 126.9721504, 37.5315423
윤세영식당,한남대로 164, 127.0024599, 37.5425156
카키스터프,회나무로13가길 46-8, 126.991972, 37.5406875
꼰떼,창의문로5길 6-1 1층, 126.9638127, 37.5921974
베테카텐,삼청로7길 7 1층, 126.9812918, 37.5837024
봉심식당,대학로11길 38-23 지하1층, 127.0006727, 37.58275830000001
빠리가옥,수표로28길 33-4, 126.990229, 37.5732578
파란대문,창의문로 168, 126.9638782, 37.59476859999999
1번지남산돈가스커피,소파로 91, 126.9849067, 37.55669969999999
브레라,동호로17길 295 대명빌딩2층, 127.006931, 37.5483438
사마리칸트,마른내로 159-10, 127.0059114, 37.5649968
동백별관,장제로 714, 126.7342232, 37.5313149
그래잇,부평문화로65번길 19, 126.723371, 37.494922
음식남녀,우현로72번길 3-11 1층, 126.6305309, 37.473711
에베레스트 스타필드 하남점,미사대로 750 스타필드 하남 1층, 127.2230712, 37.5448222
인딕슬로우,압구정로4길 13, 127.0203205, 37.5218699
질할브로스 청담점,압구정로79길 32 1층, 127.0498222, 37.52498620000001
베제투스,신흥로 59, 126.9872559, 37.5436774
라이프 카레앤커피,일산서구 일산로803번길 13 1층, 126.7480624, 37.6719169
소코아,일산동구 산두로 53 1층, 126.7888253, 37.6630097
이누네코식당,덕양구 신원로 16 1층, 126.8899736, 37.6620694
모나미카레,팔달구 화서문로17번길 52 1층, 127.0120389, 37.28664699999999
저스트텐동 양평점,용문면 용문산로 255, 127.599693, 37.52005279999999
모던한옥카페 핑크마티니,처인구 동부로 823, 127.2770423, 37.1892309
하다식당,풍성로 105 1층, 127.1239992, 37.5323961
구찌짱,도봉로10가길 12 지하1층, 127.0310535, 37.61297700000001
길회뜨다횟집,신림로59길 12 양지순대촌 별동, 126.9293133, 37.4837435
멘쇼우라멘,남부순환로230길 25, 126.95556 3,7.47909480000001
바다수다,쑥고개로 73-1 1층, 126.9447482, 37.4795763
경양카츠 상수점,와우산로 25, 126.9226902, 37.5467344
미자카야,포은로8길 5 1층, 126.90503 3,7.5563869
시바카야 라카세,독막로9길 3 1층 좌측, 126.9193959, 37.5485415
키친숲,동교로 256-10 1층, 126.9251461, 37.56239869999999
하카타분코,독막로19길 43, 126.9237503, 37.5488759
유가츠,서울숲4길 12-7 B1, 127.0423639, 37.5473277
윤경양식당,서울숲2길 40, 127.0429686, 37.5463743
들숨날숨,보문로32길 84 1층, 127.0207482, 37.5903634
담소스키야키,백제고분로31길 32 1층 103호, 127.0958177, 37.50542009999999
하코야 문래역점,당산로 34, 126.8964798, 37.517425
봉쥬르스고이,회나무로 32 B1, 126.9901764, 37.53941340000001
정거장뒤,가좌로 185, 126.9202116, 37.5874469
헤르지아,소파로 97, 126.9854786, 37.5567542
까멜,일산동구 중앙로1261번길 17 1층, 126.7729475, 37.6579384
명월관,일산동구 강송로87번길 36, 126.7874619, 37.64642349999999
화약,일산동구 일산로358번길 5-26 1층, 126.7838063, 37.66797650000001
와이키키,분당구 판교로319번길 13 107호, 127.0679137, 37.8260757
더부스 광교 앨리웨이점,영통구 광교호수공원로 80 앨리웨이광교 판매H동, 127.0607247, 37.2748113
더부엌,영통구 대학1로8번길 41, 127.0437543, 37.29875879999999
루프독스,팔달구 정조로 775-5 정율빌딩 3층, 127.0160814, 37.2770468
올라올래,팔달구 화서문로 64 4층, 127.0149424, 37.2855521
레브,언주로172길 54 1층, 127.0380194, 37.5268072
워커비,도산대로49길 6-10 지하1층, 127.0379356, 37.5235501
만국미식회,천호대로157길 18 원방빌딩 지하 1층, 127.127466, 37.53844969999999
haeimsi,천호대로157길 26 4층, 127.1274956, 37.5388775
스몰 스파이시 올리브,마곡중앙4로 22 B동 1층 111호, 126.8294265, 37.5584411
호호방,마곡중앙로 161-1 마곡나루 캐슬파크 1층 115호, 126.8276089, 37.5677127
아씨펍 크래프트,새말로 102 신도림포스빌 147호, 126.8917187, 37.5055949
테니스피자펍,경인로47길 42-1, 126.8659373, 37.5011369
3공간,동작대로9길 8-10 1층, 126.9812995, 37.48099
돈페페,사당로30길 123-1, 126.9808228, 37.4793766
오마주,사당로30길 96 1층, 126.9806707, 37.4805007
낮도깨비 밤도깨비,월드컵로15길 76 1층, 126.9075231, 37.5536853
루나씨엘로,"동교로34길 21 3, 4층", 126.925538, 37.56083599999999
루프탑지니,"월드컵북로4길 23-5 3층,4층", 126.9206814, 37.55753139999999
레이씨,연희맛로 17-14 이층, 126.9290368, 37.5671888
게락,방배중앙로 169 1층 5호, 126.9858981, 37.49401210000001
타이밍 뮤직바,양재천로 135-4 솔빌딩 1층, 127.0421756, 37.47903209999999
파운드로컬,나루터로 65, 127.0168966, 37.515454
문화식당 성수점,성수일로4길 45 2층, 127.0538147, 37.5422651
문화식당,보문로30나길 37, 127.0202944, 37.59103719999999
스패로우,동소문로20가길 50, 127.0188984, 37.59347100000001
이쩜이오,동소문로22길 57-4 지하, 127.0188194, 37.590487
째즈스토리,혜화로 88, 126.9981799, 37.5927374
술노리아,문정로1길 31, 127.1235523, 37.4888952
크래프트아일랜드 잠실점,"올림픽로35가길 10 더샵스타파크상가 114호, 115호, 119호", 127.1022734, 37.51727959999999
블랑,양산로23길 6, 126.8976109, 37.52435189999999
비어바나,도림로129길 5-1, 126.8953108, 37.5132973
남산케미스트리,회나무로 33, 126.9903945, 37.5397739
더구룸,이태원로 208 4층, 126.9970473, 37.5345018
더테이블키친,이태원로54길 58-7, 127.0007435, 37.5356306
성광대도,신흥로 63, 126.9870849, 37.5438561
어글리소사이어티,보광로59길 40 6층, 126.991823, 37.53393560000001
몰림,사직로10길 5 몰림, 126.9704748, 37.5756317
심야식당,대명길 39-5 1층, 126.9996027, 37.582766
문화식당 신당동,퇴계로86길 3-1, 127.0198286, 37.5654204
분카샤 충무로점,퇴계로31길 16 우형빌딩 4층, 126.9923898, 37.56185380000001
약술,다산로21길 5 1층, 127.011941, 37.5578139
하피덕 시청점,서소문로 136, 127.0421756, 37.47903209999999
로만티카,상봉로25길 39 1층, 127.0908575, 37.5946897
오순도순,망우로30길 8 1층, 127.0742542, 37.5926999
량목,일산동구 대산로11번길 85 1층 우측, 126.7718033, 37.6664188
효교,일산동구 일산로380번길 41, 126.7830564, 37.67047029999999
효교향동,덕양구 향기4로 21 1층, 126.8977345, 37.599626
오백년짬뽕,처인구 한터로 158, 127.2279649, 37.248532
짬뽕지존 수지동천점,수지구 고기로 59, 127.0954926, 37.3432227
킹박스,강남대로140길 9 1층, 127.0212099, 37.5139927
103호심야식당,양평로 64-1 1층, 126.8996239, 37.5352615
팔레드신,퇴계로 67 레스케이프 호텔 6층, 126.9795036, 37.5598362
레이지버거클럽 원흥점,덕양구 서오릉로 740 1층, 126.863487, 37.6413698
슈팅맨,일산동구 동국로 109-10, 126.8032409, 37.68206199999999
찰리스버거 분당,분당구 느티로 69 숲안조합상가 102호, 127.1122212, 37.3686529
훌리스,분당구 정자일로 100 미켈란쉐르빌 상가동 109호, 127.1069862, 37.3588545
"오피큐알 (OH,PQR",팔달구 화서문로45번길 31, 127.0123331, 37.2866513
PIZZERIA DA MOON,기흥구 죽전로15번길 11-8, 127.1096725, 37.3216667
버거비치,단원구 대부황금로 1501 1~2층, 126.5753937, 37.2879745
피자플리즈,단원구 사근여길 6-12, 126.5714848, 37.2847124
찰리스버거 구성,기흥구 용인향교로20번길 7, 127.1201355, 37.2964874
핫터,"시민로122번길 26 1층,2층", 127.0484114, 37.7372266
레드파이프,지목로 17-7, 126.6928041, 37.7258414
틴틴스버거,와석순환로252번길 7-35 1층, 126.738994, 37.720119
다운타우너 청담,도산대로53길 14 1층, 127.0384823, 37.5240197
더블트러블 유니온,압구정로4길 27-2 1층, 127.0208825, 37.5216286
모터시티바이매니멀강남점,강남대로98길 12-3 2층, 127.0278863, 37.5005235
올데이피자 서비스,도산대로23길 17, 127.0259309, 37.5201043
크라이치즈버거 삼성역점,테헤란로 616 미래에셋벤처타워 B1층, 127.0653743, 37.50904009999999
파이어벨 대치본점,선릉로72길 13, 127.0522425, 37.500313
Ginos NY Pizza 압구정점,선릉로155길 15 1층, 127.03835 3,7.52541900000001
피맥하우스,남부순환로 1864 1층, 126.9567467, 37.4794035
버터버거,천면로 13, 127.1072469, 37.5467675
